well_name,c_mean,c_sd,d_mean,d_sd,presence,cd_ratio,prop_d,prop_c,abundance,sd_warning,ct_warning,rep,C,D
T1 62,40.45,0,33.05,0.169705627,D,15.35427387,0.938853904,0.061146096,D>C,NA,c*,NA,6,94
T1 64,39.81,0.90509668,28.78,0.028284271,CD,190.0938939,0.99476697,0.00523303,D>C,NA,c*,NA,0,100
T1 66,36.75,0.537401154,29.175,0.374766594,CD,17.33442866,0.945457804,0.054542196,D>C,NA,NA,NA,5,95
T1 74,38.6825,2.082168341,38.97,4.06,CD,0.074483691,0.069320448,0.930679552,C>D,cd*,cd*,NA,93,7
T1 9,30.505,0.077781746,33.38,0.353553391,CD,0.012392133,0.012240448,0.987759552,C>D,NA,NA,NA,98,2
T2 10B,39.615,1.180868325,32.995,1.06773124,CD,8.941819237,0.899414788,0.100585212,D>C,cd*,c*,NA,10,90
T2 10NB,40.45,0,29.125,0.077781746,D,233.2233428,0.995730571,0.004269429,D>C,NA,c*,NA,0,100
T2 13B,30.395,0.007071068,34.095,0.883883476,CD,0.006995139,0.006946547,0.993053453,C>D,NA,NA,NA,99,1
T2 13NB,28.51,0.212132034,34.655,0.799030663,CD,0.00128463,0.001282982,0.998717018,C>D,NA,NA,NA,99,1
T2 20B,40.45,0,33.055,0.657609307,D,15.30115212,0.938654643,0.061345357,D>C,NA,c*,NA,6,94
T2 20NB,35.395,0.176776695,28.95,0.325269119,CD,7.920373041,0.887897065,0.112102935,D>C,NA,NA,NA,11,89
T2 21B,33.4975,2.220185803,39.1875,3.625,CD,0.001760948,0.001757853,0.998242147,C>D,cd*,d*,NA,99,1
T2 21NB,28.59,0.240416306,28.295,0.120208153,CD,0.111534998,0.100343217,0.899656783,C>D,NA,NA,NA,89,11
T2 23B,40.45,0,41,0,C,0.062092739,0.058462634,0.941537366,C>D,NA,cd*,NA,94,6
T2 23NB,40.45,0,28.465,0.332340187,D,368.5121513,0.997293729,0.002706271,D>C,NA,c*,NA,0,100
